root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
21:24:38.116166 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 16108:16312, ack 1, win 902, options [nop,nop,TS val 4230508534 ecr 1280389436], length 204
21:24:38.116192 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 16312:16348, ack 1, win 902, options [nop,nop,TS val 4230508534 ecr 1280389436], length 36
21:24:38.116227 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 16348:16552, ack 1, win 902, options [nop,nop,TS val 4230508534 ecr 1280389436], length 204
21:24:38.116258 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 16552:16588, ack 1, win 902, options [nop,nop,TS val 4230508534 ecr 1280389436], length 36
21:24:38.116319 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 16588:16792, ack 1, win 902, options [nop,nop,TS val 4230508534 ecr 1280389436], length 204
21:24:38.116348 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 16792:16828, ack 1, win 902, options [nop,nop,TS val 4230508534 ecr 1280389436], length 36
21:24:38.116386 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 16828:17032, ack 1, win 902, options [nop,nop,TS val 4230508534 ecr 1280389436], length 204
21:24:38.116413 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 17032:17068, ack 1, win 902, options [nop,nop,TS val 4230508534 ecr 1280389436], length 36
21:24:38.116449 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 17068:17272, ack 1, win 902, options [nop,nop,TS val 4230508534 ecr 1280389436], length 204
21:24:38.116486 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 17272:17308, ack 1, win 902, options [nop,nop,TS val 4230508534 ecr 1280389436], length 36
21:24:38.116534 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 17308:17512, ack 1, win 902, options [nop,nop,TS val 4230508534 ecr 1280389436], length 204
21:24:38.116565 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 17512:17548, ack 1, win 902, options [nop,nop,TS val 4230508534 ecr 1280389436], length 36
21:24:38.116604 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 17548:17752, ack 1, win 902, options [nop,nop,TS val 4230508534 ecr 1280389436], length 204
21:24:38.116630 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 17752:17788, ack 1, win 902, options [nop,nop,TS val 4230508534 ecr 1280389436], length 36
